sub	ses	task	run	n_volumes	mean_fd_p	median_fd_p	max_fd_p	prop_fd_p_over_thresh	n_fd_p_over_thresh	mean_dvars	site	avg_en	exclude_euler	exclude_mriqc	exclude	exclude_reason
sub-ADNI018S4889	ses-M006	task-rest		140	0.1763117520340214	0.1498462599206141	0.6347921909449266	0.0	0	1.2195743021582734	18	-3.0	0	0	0	
sub-ADNI018S5240	ses-M000	task-rest		140	0.15431424341722	0.1183324130556152	1.043814248839085	0.0142857142857142	2	1.2733976258992807	18	-13.0	0	0	0	
sub-ADNI018S5250	ses-M000	task-rest		140	0.2195009334451944	0.1837708241987831	0.738873520321365	0.0	0	1.2218876762589923	18	-9.0	0	0	0	
sub-ADNI018S5262	ses-M000	task-rest		140	0.2011466956430077	0.1438525964566896	1.0986269125140726	0.0214285714285714	3	1.1699507985611513	18	-13.0	0	0	0	
sub-ADNI018S6207	ses-M000	task-rest		197	0.1800587211665721	0.1119557756837934	1.1329118451157412	0.0203045685279187	4	1.3510240153061224	18	-15.0	0	0	0	
sub-ADNI018S6351	ses-M000	task-rest		197	0.1470630924089739	0.1386004240745913	0.3897448090773462	0.0	0	1.1990483469387756	18	-16.0	0	0	0	
sub-ADNI019S4252	ses-M000	task-rest		140	0.1568457809680218	0.1285110963561452	0.8773724868681848	0.0071428571428571	1	1.1597537194244605	19	-1.0	0	0	0	
sub-ADNI019S4252	ses-M003	task-rest		140	0.4313345186945163	0.3620036011521129	1.7432042971123745	0.1285714285714285	18	1.140932669064748	19	-11.0	0	0	0	
sub-ADNI019S4252	ses-M006	task-rest		140	0.4528900776199377	0.3298843336219574	1.7874847325324472	0.15	21	1.367717690647482	19	-12.0	0	0	0	
sub-ADNI019S4252	ses-M012	task-rest		140	0.171978441308279	0.1045625716979472	1.2987634007895523	0.0285714285714285	4	1.1555197050359711	19	-10.0	0	0	0	
sub-ADNI019S4252	ses-M024	task-rest		140	0.2831189045413174	0.1711087528405876	2.766359434482528	0.0642857142857142	9	1.4362992302158273	19	-7.0	0	0	0	
sub-ADNI019S4285	ses-M000	task-rest		140	0.3597294419615883	0.2841857484465332	1.978557271181273	0.0785714285714285	11	1.1886343669064747	19	-15.0	0	0	0	
