sub	ses	task	run	n_volumes	mean_fd_p	median_fd_p	max_fd_p	prop_fd_p_over_thresh	n_fd_p_over_thresh	mean_dvars	site	avg_en	exclude_euler	exclude_mriqc	exclude	exclude_reason
sub-ADNI037S4071	ses-M066	task-rest		197	0.1185170008483186	0.0902188569112192	1.3792853648642645	0.0050761421319796	1	1.1673201836734692	37	-127.0	1	1	1	euler_site_outlier;mriqc_outlier
sub-ADNI037S4214	ses-M084	task-rest		976	0.1000088629710012	0.088632534832492	0.4181527683476009	0.0	0	1.141101282051282	37	-34.0	0	1	1	mriqc_outlier
sub-ADNI037S4302	ses-M060	task-rest		197	0.1176158409619559	0.0942068878270672	0.6051203256733955	0.0	0	1.097347464285714	37	-54.0	0	1	1	mriqc_outlier
sub-ADNI037S4308	ses-M066	task-rest		197	0.1259753326747419	0.0983194391741198	0.714910878529155	0.0	0	1.2912278571428573	37	-72.0	0	1	1	mriqc_outlier
sub-ADNI037S5126	ses-M078	task-rest		976	0.6982411796981562	0.560592587271182	2.20888762327747	0.3627049180327868	354	1.1374983292307694	37	-31.0	0	1	1	mriqc_outlier
sub-ADNI041S1418	ses-M132	task-rest		197	0.1669050070609213	0.0999303545988644	1.6580633511779668	0.015228426395939	3	1.09968306122449	41	-20.0	0	1	1	mriqc_outlier
sub-ADNI053S2396	ses-M024	task-rest		140	0.6542078352504126	0.6484379675703504	1.2714351982435963	0.3285714285714285	46	1.2227926115107912	53	-28.0	0	1	1	mriqc_outlier
sub-ADNI053S2396	ses-M036	task-rest		200	0.6702498695474616	0.6544233574605219	1.5547096810161287	0.34	68	1.1537246834170856	53	-45.0	0	1	1	mriqc_outlier
sub-ADNI053S2396	ses-M060	task-rest		200	0.8109226865507116	0.7901038157677478	1.5267504178916296	0.49	98	1.1491328994974876	53	-30.0	0	1	1	mean_fd_p>0.7;prop_fd_p_over_thresh>0.4;mriqc_outlier
sub-ADNI053S4813	ses-M024	task-rest		200	0.7908993547263224	0.5253317137511628	2.849087611970285	0.345	69	1.2103884221105528	53	-12.0	0	1	1	mean_fd_p>0.7;mriqc_outlier
sub-ADNI057S6746	ses-M000	task-rest		200	0.2722503957256186	0.2399586055015189	1.310873994298098	0.015	3	1.0591492864321608	57	-334.0	1	1	1	euler_site_outlier;mriqc_outlier
